name,review_count,rating,address1,address2,city,state,zip_code,url,id,latitude,longitude,alias,title,price
"Guero's Cocina Mexicana",152,4.5,"737 S Los Angeles St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/gueros-cocina-mexicana-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,RLn3T-U9_iyIuxZ1evzJkw,34.0427,-118.251661,mexican,Mexican,2
"Gyoza Boyz DTLA",29,3.5,"724 S Spring St","Corporation Food Hall","Los Angeles",CA,90014,https://www.yelp.com/biz/gyoza-boyz-dtla-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Vz-vcwRDwQLxlIgAUACu5A,34.0437727761669,-118.252955633491,japanese,Japanese,2
"Tierra Mia Coffee",441,4.5,"653 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/tierra-mia-coffee-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,YxXdWO8uE84evYVbp-5Gqw,34.045240804553,-118.251737728715,coffee,"Coffee & Tea",2
Subway,16,1.5,"712 S Los Angeles St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/subway-los-angeles-317?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Ykha_LaNcRiexqU14bzarQ,34.0428345570209,-118.250675744342,sandwiches,Sandwiches,2
"Pizza Hut",83,1.5,"718 S Los Angeles St","Unit C","Los Angeles",CA,90014,https://www.yelp.com/biz/pizza-hut-los-angeles-92?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,NAIvacyy-XCROjMHdLq42A,34.04270305553276,-118.250792,chicken_wings,"Chicken Wings",2
"Little Fluffy Head Cafe",466,4.5,"203 W 7th St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/little-fluffy-head-cafe-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,_Cop86udfkWP81q1VT_Q5A,34.0447553,-118.2523943,bubbletea,"Bubble Tea",2
"The Falls",533,4.0,"626 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/the-falls-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,76XDB7MLLyj2MXfOnFhP3Q,34.04512,-118.25128,lounges,Lounges,2
"Vegan Hooligans",81,4.5,"718 S Los Angeles",,"Los Angeles",CA,90014,https://www.yelp.com/biz/vegan-hooligans-los-angeles-6?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,7HLhR2RfkLyc7jjRUZUvww,34.042728,-118.250771,vegan,Vegan,2
"BROKEN MOUTH | Lee's Homestyle",1144,5.0,"718 S Los Angeles St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/broken-mouth-lees-homestyle-los-angeles-5?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,CcqraT0cuGKYEcZ1ri_kxg,34.04275,-118.25081,hawaiian,Hawaiian,2
"Holy Basil",167,4.5,"718 S Los Angeles St","Unit A","Los Angeles",CA,90014,https://www.yelp.com/biz/holy-basil-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,gX802b6PyS51OjFrXacWfA,34.042728,-118.250771,thai,Thai,2
"Spring Street Bar",560,4.0,"626-B S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/spring-street-bar-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,bDh2drw3BO7T3xWGRQG3fQ,34.04519847943077,-118.25151490789511,sandwiches,Sandwiches,2
"LA Café",2075,3.5,"639 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/la-caf%C3%A9-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,-gvbpI_PayXy9agbPiGbpA,34.045171,-118.252104,breakfast_brunch,"Breakfast & Brunch",2
"Basil & Cheese Cafe",2,5.0,"757 S Main St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/basil-and-cheese-cafe-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,mhbkTwEgIW4rVtK3JVcgeA,34.04295,-118.25314,coffee,"Coffee & Tea",2
"Taco Mundo",4,4.0,"105 E 8th St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/taco-mundo-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,S0r-tYSncjdJ58rtXnuEtg,34.0426399,-118.2528752,mexican,Mexican,2
"Soup Bazaar",51,4.5,"105 E 8th St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/soup-bazaar-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,5bBhd7c0WtgRBIoa2VXnug,34.04263,-118.25283,soup,Soup,2
"502 crepes & smoothies",1,1.0,"763 S Los Angeles St Los Angeles Ca 90014",,"Los Angeles",CA,90014,https://www.yelp.com/biz/502-crepes-and-smoothies-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,77DgYBv4O-OZAj9tqxBq5w,34.04226,-118.25239,creperies,Creperies,2
"Village Market",3,1.0,"220 W 7th St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/village-market-los-angeles-5?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,pAfn_fpfInYukWH8aqjlXg,34.0449293,-118.2529701,grocery,Grocery,2
"Fox and Moon Tearoom",5,5.0,"758 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/fox-and-moon-tearoom-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,WxnnhlYQpJ0ga5VD3fiKkQ,34.043100742360714,-118.253386,tea,"Tea Rooms",2
