name,review_count,rating,city,zip_code,id,latitude,longitude,alias,title,price
"El Palmar",3,3.5,"Los Angeles",90007,59YkqlH6eRJ5uBTmFzFmAQ,34.02658,-118.27167,salvadoran,Salvadoran,1
"Just Turkey",175,4.0,"Los Angeles",90016,9GHopT8nFKqztDYHacbK-A,34.02692,-118.37158,burgers,Burgers,1
"Rodeo Express",52,4.5,"Los Angeles",90026,J-YdHW730lY0BgsDRZCB6Q,34.077727,-118.258845917881,mexican,Mexican,1
"Tacos Arabes- Taco Truck",9,4.5,"Los Angeles",90026,OurQD4GsApgFHTt7YPWCCA,34.0769585967064,-118.258563950658,mexican,Mexican,1
"Señor Fish",252,3.0,"Los Angeles",90026,dKVIKCk_hXw01ivIvWGEcQ,34.0773897069776,-118.258504271507,mexican,Mexican,2
Devorame,40,4.5,"Los Angeles",90017,atwvQmt_Z0HG28mWHuwxHg,34.04837,-118.25768,foodtrucks,"Food Trucks",2
"QDOBA Mexican Eats",220,3.5,"Los Angeles",90017,3O7YbvVTw_pYPIu4rwr4vQ,34.0482731,-118.2575949,mexican,Mexican,2
"Cilantro Mexican Grill",58,2.5,"Los Angeles",90071,l43jcqiGPAE43oxQKvWlDQ,34.05147,-118.25649,mexican,Mexican,2
"La Guera Restaurant",5,5.0,"Los Angeles",90015,8CGSKoJP4Cgb1mqcad1vTQ,34.034187,-118.264153,mexican,Mexican,2
"Jack in the Box",23,1.5,"Los Angeles",90008,pa6WoJsbvXmSi8FmcjFAVQ,34.007935,-118.334798365831,hotdogs,"Fast Food",2
"Cilantro Fresh Mexican Grill",26,2.5,"Los Angeles",90012,tNhJ9VSGBUwdManux3Xrwg,34.0395354524023,-118.260814955498,mexican,Mexican,2
"Jack in the Box",48,2.5,"Los Angeles",90015,XT1cB9jFsj7_ygLkSATz_g,34.03397633723965,-118.26412482747055,hotdogs,"Fast Food",2
"Barbacoa Estilo Toluca",16,3.0,"Los Angeles",90007,jwrhuzfYM_rOQSH15RloEw,34.025631,-118.2714005,mexican,Mexican,2
"Chipotle Mexican Grill",378,2.5,"Los Angeles",90007,TPPk2Ii3rMcBN7qylcq9gw,34.0169555554708,-118.282584020255,mexican,Mexican,2
"Tacos Arizas",215,4.0,"Los Angeles",90026,ZNL76QlAzJjYjBc6ALM5Gg,34.07705,-118.25887,mexican,Mexican,2
"Kosher Pizza Station",74,4.5,"Los Angeles",90035,U0tqLbsRtWSFQsQD7-T0yA,34.0553849,-118.3875885,pizza,Pizza,2
"Alejandra’s Quesadilla Cart",172,4.5,"Los Angeles",90026,RMi8jn4ZBnAL3-l1T7tjmA,34.0760671,-118.257599,foodstands,"Food Stands",2
"Hot Dogs King",17,3.0,"Los Angeles",90017,RsngNklQlTtgu-FLA0OeTA,34.0493230918898,-118.256425139832,foodtrucks,"Food Trucks",2
